index;Posit32 error;Float32 error
0;2.88E-05;0.000486851
1;3.54E-05;0.000545502
2;3.31E-05;0.000520706
3;3.21E-05;0.000508308
4;3.27E-05;0.000507832
5;3.56E-05;0.000558376
6;3.35E-05;0.000505447
7;3.35E-05;0.00059557
8;3.22E-05;0.000505447
9;3.25E-05;0.000496864
10;3.26E-05;0.000506878
11;3.28E-05;0.00052762
12;3.35E-05;0.000504971
13;3.42E-05;0.000535488
14;3.22E-05;0.000531912
15;3.47E-05;0.000533581
16;3.22E-05;0.000525475
17;3.52E-05;0.000541687
18;3.40E-05;0.000518322
19;3.15E-05;0.000526905
20;3.51E-05;0.000553131
21;3.34E-05;0.000535011
22;3.19E-05;0.000525951
23;3.31E-05;0.000502586
24;3.07E-05;0.000526428
25;3.18E-05;0.000511408
26;3.28E-05;0.000497341
27;3.28E-05;0.000552177
28;3.28E-05;0.000489712
29;3.52E-05;0.000553131
30;3.06E-05;0.000533104
31;3.28E-05;0.000526428
32;2.86E-05;0.000493526
33;3.04E-05;0.000527382
34;3.31E-05;0.000531673
35;3.13E-05;0.000504971
36;3.38E-05;0.000526905
37;3.37E-05;0.000504017
38;3.45E-05;0.000555992
39;3.46E-05;0.000534058
40;3.13E-05;0.00049448
41;3.25E-05;0.000492573
42;3.12E-05;0.000501156
43;3.22E-05;0.000490665
44;3.21E-05;0.00052166
45;3.42E-05;0.000502586
46;3.40E-05;0.000515461
47;3.47E-05;0.000537872
48;3.17E-05;0.000543356
49;3.45E-05;0.000517845
50;3.27E-05;0.000506878
51;3.25E-05;0.00051403
52;3.31E-05;0.000531197
53;3.07E-05;0.000485897
54;3.12E-05;0.000507355
55;3.14E-05;0.000499249
56;3.36E-05;0.000502586
57;3.16E-05;0.000508308
58;3.11E-05;0.000477791
59;3.24E-05;0.000521421
60;3.14E-05;0.000495911
61;3.04E-05;0.000505924
62;3.06E-05;0.000516891
63;3.29E-05;0.000563145
64;3.38E-05;0.000534534
65;3.25E-05;0.000533104
66;3.33E-05;0.000552654
67;3.64E-05;0.000522614
68;3.28E-05;0.000548363
69;3.14E-05;0.00052166
70;3.45E-05;0.000517845
71;3.51E-05;0.000545502
72;3.16E-05;0.000507832
73;3.12E-05;0.000527859
74;3.27E-05;0.000509024
75;3.33E-05;0.000523567
76;3.42E-05;0.000564575
77;3.31E-05;0.000511646
78;3.14E-05;0.000520706
79;3.43E-05;0.000525475
80;3.21E-05;0.000476122
81;3.57E-05;0.000539303
82;3.31E-05;0.000548363
83;3.33E-05;0.000540733
84;3.33E-05;0.000566959
85;3.00E-05;0.000445366
86;3.40E-05;0.000519276
87;3.21E-05;0.000531197
88;3.20E-05;0.000518322
89;3.10E-05;0.000481606
90;3.29E-05;0.000553131
91;3.25E-05;0.00050211
92;3.21E-05;0.000539303
93;3.29E-05;0.000515938
94;3.28E-05;0.000538826
95;3.18E-05;0.000503778
96;3.17E-05;0.000486374
97;3.37E-05;0.0005126
98;3.38E-05;0.000527859
99;3.28E-05;0.00050354
