index;Posit32 error;Float32 error
0;0.000453651;0.005818367
1;0.000429571;0.005781174
2;0.00044477;0.005802155
3;0.000480175;0.005933762
4;0.0004493;0.005739212
5;0.000430167;0.005629539
6;0.000438035;0.005738258
7;0.000432014;0.005717278
8;0.00042057;0.005740166
9;0.000426829;0.0058918
10;0.000445306;0.005759239
11;0.000474632;0.005911827
12;0.000472188;0.006144524
13;0.000445008;0.00571537
14;0.00045675;0.005979538
15;0.000439107;0.005931854
16;0.00046891;0.005968094
17;0.000482798;0.005963326
18;0.000431001;0.005844116
19;0.000429928;0.005594254
20;0.000431478;0.005765915
21;0.00044018;0.005622864
22;0.00042671;0.005659103
23;0.000430942;0.005737305
24;0.000485361;0.006057739
25;0.00046581;0.005905151
26;0.000433445;0.005627632
27;0.000420094;0.005785942
28;0.000453591;0.005797386
29;0.000452459;0.00587368
30;0.000413597;0.005771637
31;0.000407755;0.005586624
32;0.000450611;0.005999565
33;0.000424385;0.005774498
34;0.000414491;0.005773544
35;0.000437558;0.005814552
36;0.000448465;0.005846024
37;0.000425518;0.005892754
38;0.000441611;0.005923271
39;0.000423491;0.005804062
40;0.000457287;0.006018639
41;0.000432611;0.00568676
42;0.00045079;0.005853653
43;0.000460625;0.005947113
44;0.000490189;0.006106377
45;0.000446081;0.005744934
46;0.000409067;0.005541801
47;0.000439823;0.00580883
48;0.000448346;0.005827904
49;0.000454962;0.005878448
50;0.000448585;0.00573349
51;0.000446081;0.00587368
52;0.000452757;0.005772591
53;0.000455141;0.005921364
54;0.000449717;0.005649567
55;0.000466526;0.005999565
56;0.000428498;0.005901337
57;0.000460505;0.00605011
58;0.000398338;0.005567551
59;0.000409245;0.00554657
60;0.000442088;0.005815506
61;0.000423968;0.005631447
62;0.000436485;0.005735397
63;0.000458539;0.005979538
64;0.000450253;0.005729675
65;0.000437617;0.005763054
66;0.00045234;0.0060215
67;0.000456572;0.005990982
68;0.000436902;0.005835533
69;0.000432849;0.00587368
70;0.000429213;0.005663872
71;0.000451624;0.005886078
72;0.000450313;0.006004333
73;0.000458121;0.006010056
74;0.000454545;0.005812645
75;0.000439405;0.005764961
76;0.000466943;0.006024361
77;0.00044769;0.005952835
78;0.000467777;0.006093025
79;0.00043869;0.005880356
80;0.000443816;0.005919456
81;0.000449836;0.005774498
82;0.000421524;0.005667686
83;0.000475109;0.005930901
84;0.000452697;0.005859375
85;0.000476182;0.006097794
86;0.000436008;0.005797386
87;0.000470161;0.005802155
88;0.000420392;0.005727768
89;0.000426471;0.005764008
90;0.000434339;0.005786896
91;0.000481546;0.006002426
92;0.000433862;0.005785942
93;0.000433207;0.005645752
94;0.000471413;0.005857468
95;0.000452101;0.006002426
96;0.000437021;0.005852699
97;0.000427961;0.005674362
98;0.000471294;0.005866051
99;0.000442624;0.005812645
