index,Posit32 error,Float32 error,Matrix size,Random interval
0,8.0,4.0,16,10000.0
1,0.0,12.0,16,10000.0
2,0.0,0.0,16,10000.0
3,16.0,4.0,16,10000.0
4,0.0,4.0,16,10000.0
5,0.0,0.0,16,10000.0
6,32.0,0.0,16,10000.0
7,48.0,4.0,16,10000.0
8,30.0,3.5,16,10000.0
9,64.0,0.0,16,10000.0
10,64.0,16.0,16,10000.0
11,0.0,6.0,16,10000.0
12,0.0,16.0,16,10000.0
13,32.0,0.0,16,10000.0
14,32.0,8.0,16,10000.0
15,0.0,0.0,16,10000.0
16,0.0,0.0,16,10000.0
17,16.0,8.0,16,10000.0
18,64.0,16.0,16,10000.0
19,11.0,3.25,16,10000.0
20,0.0,8.0,16,10000.0
21,0.0,8.0,16,10000.0
22,0.0,8.0,16,10000.0
23,0.0,32.0,16,10000.0
24,64.0,16.0,16,10000.0
25,8.0,9.0,16,10000.0
26,0.0,0.0,16,10000.0
27,5.5,6.25,16,10000.0
28,0.0,0.0,16,10000.0
29,64.0,0.0,16,10000.0
30,0.0,8.0,16,10000.0
31,34.0,6.0,16,10000.0
32,64.0,16.0,16,10000.0
33,0.0,12.0,16,10000.0
34,32.0,8.0,16,10000.0
35,0.0,8.0,16,10000.0
36,0.0,8.0,16,10000.0
37,32.0,0.0,16,10000.0
38,16.0,8.0,16,10000.0
39,8.0,2.0,16,10000.0
40,0.0,4.0,16,10000.0
41,0.0,0.0,16,10000.0
42,32.0,8.0,16,10000.0
43,28.0,5.0,16,10000.0
44,0.0,0.0,16,10000.0
45,6.0,0.0,16,10000.0
46,16.0,12.0,16,10000.0
47,14.125,0.9375,16,10000.0
48,64.0,8.0,16,10000.0
49,48.0,12.0,16,10000.0
50,0.0,4.0,16,10000.0
51,32.0,4.0,16,10000.0
52,0.0,48.0,16,10000.0
53,32.0,0.0,16,10000.0
54,0.0,0.0,16,10000.0
55,0.0,0.0,16,10000.0
56,17.5,1.75,16,10000.0
57,16.0,16.0,16,10000.0
58,32.0,0.0,16,10000.0
59,32.0,0.0,16,10000.0
60,16.0,4.0,16,10000.0
61,64.0,16.0,16,10000.0
62,0.9375,9.6875,16,10000.0
63,0.0,12.0,16,10000.0
64,12.0,2.0,16,10000.0
65,128.0,0.0,16,10000.0
66,8.5,5.25,16,10000.0
67,0.0,4.0,16,10000.0
68,0.0,16.0,16,10000.0
69,32.0,0.0,16,10000.0
70,224.0,8.0,16,10000.0
71,0.0,0.0,16,10000.0
72,0.0,0.0,16,10000.0
73,32.0,8.0,16,10000.0
74,0.0,16.0,16,10000.0
75,0.0,0.0,16,10000.0
76,0.0,0.0,16,10000.0
77,32.0,8.0,16,10000.0
78,0.0,0.0,16,10000.0
79,64.0,0.0,16,10000.0
80,64.0,16.0,16,10000.0
81,0.0,8.0,16,10000.0
82,0.0,16.0,16,10000.0
83,0.0,0.0,16,10000.0
84,2.0,3.0,16,10000.0
85,64.0,0.0,16,10000.0
86,8.0,4.0,16,10000.0
87,48.0,12.0,16,10000.0
88,0.0,8.0,16,10000.0
89,0.0,16.0,16,10000.0
90,0.0,16.0,16,10000.0
91,32.0,8.0,16,10000.0
92,16.0,12.0,16,10000.0
93,22.0,6.0,16,10000.0
94,64.0,0.0,16,10000.0
95,0.0,0.0,16,10000.0
96,8.0,4.0,16,10000.0
97,0.0,16.0,16,10000.0
98,6.0,4.0,16,10000.0
99,0.0,8.0,16,10000.0
