index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,2,0.1
1,0.0,0.0,2,0.1
2,0.0,2.3283064365386963e-10,2,0.1
3,2.9103830456733704e-11,1.1641532182693481e-10,2,0.1
4,0.0,2.3283064365386963e-10,2,0.1
5,0.0,0.0,2,0.1
6,1.1641532182693481e-10,0.0,2,0.1
7,5.820766091346741e-11,0.0,2,0.1
8,2.9103830456733704e-11,0.0,2,0.1
9,0.0,0.0,2,0.1
