index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.862645149230957e-09,0.0,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,2,1.0
1,0.0,0.0,2,1.0
2,0.0,5.960464477539063e-08,2,1.0
3,9.313225746154785e-10,2.9802322387695312e-08,2,1.0
4,0.0,0.0,2,1.0
5,1.862645149230957e-09,0.0,2,1.0
6,0.0,0.0,2,1.0
7,4.656612873077393e-10,0.0,2,1.0
8,0.0,0.0,2,1.0
9,1.862645149230957e-09,2.9802322387695312e-08,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.862645149230957e-09,7.450580596923828e-09,2,1.0
1,7.450580596923828e-09,2.9802322387695312e-08,2,1.0
2,1.3969838619232178e-09,4.470348358154297e-08,2,1.0
3,3.958120942115784e-09,3.166496753692627e-08,2,1.0
4,4.6566128730773926e-09,1.1175870895385742e-08,2,1.0
5,9.313225746154785e-10,5.960464477539063e-08,2,1.0
6,3.725290298461914e-09,3.3527612686157227e-08,2,1.0
7,4.656612873077393e-10,5.960464477539063e-08,2,1.0
8,3.725290298461914e-09,1.1920928955078125e-07,2,1.0
9,3.725290298461914e-09,1.1920928955078125e-07,2,1.0
10,7.450580596923828e-09,2.9802322387695312e-08,2,1.0
11,9.313225746154785e-10,3.3527612686157227e-08,2,1.0
12,9.313225746154785e-10,8.940696716308594e-08,2,1.0
13,5.587935447692871e-09,0.0,2,1.0
14,4.656612873077393e-10,7.450580596923828e-09,2,1.0
15,2.7939677238464355e-09,9.313225746154785e-10,2,1.0
16,7.450580596923828e-09,0.0,2,1.0
17,9.313225746154785e-10,7.450580596923828e-09,2,1.0
18,0.0,1.5832483768463135e-08,2,1.0
19,7.450580596923828e-09,5.960464477539063e-08,2,1.0
20,1.3969838619232178e-09,0.0,2,1.0
21,1.862645149230957e-09,1.1920928955078125e-07,2,1.0
22,3.725290298461914e-09,1.1920928955078125e-07,2,1.0
23,1.1175870895385742e-08,8.940696716308594e-08,2,1.0
24,1.30385160446167e-08,1.043081283569336e-07,2,1.0
25,4.656612873077393e-10,0.0,2,1.0
26,4.6566128730773926e-09,2.2351741790771484e-08,2,1.0
27,2.7939677238464355e-09,8.940696716308594e-08,2,1.0
28,6.984919309616089e-09,6.332993507385254e-08,2,1.0
29,3.725290298461914e-09,5.21540641784668e-08,2,1.0
30,0.0,2.9802322387695312e-08,2,1.0
31,7.450580596923828e-09,2.9802322387695312e-08,2,1.0
32,9.313225746154785e-10,2.9802322387695312e-08,2,1.0
33,4.6566128730773926e-09,2.9802322387695312e-08,2,1.0
34,6.05359673500061e-09,8.568167686462402e-08,2,1.0
35,9.313225746154785e-09,2.9802322387695312e-08,2,1.0
36,1.862645149230957e-09,2.682209014892578e-07,2,1.0
37,2.7939677238464355e-09,8.940696716308594e-08,2,1.0
38,4.190951585769653e-09,7.450580596923828e-09,2,1.0
39,9.313225746154785e-10,7.450580596923828e-08,2,1.0
40,3.725290298461914e-09,8.940696716308594e-08,2,1.0
41,3.725290298461914e-09,4.470348358154297e-08,2,1.0
42,9.313225746154785e-09,8.940696716308594e-08,2,1.0
43,0.0,5.960464477539063e-08,2,1.0
44,5.122274160385132e-09,7.450580596923828e-09,2,1.0
45,1.862645149230957e-09,9.313225746154785e-10,2,1.0
46,6.51925802230835e-09,1.6763806343078613e-08,2,1.0
47,4.6566128730773926e-09,2.9802322387695312e-08,2,1.0
48,9.313225746154785e-10,5.960464477539063e-08,2,1.0
49,6.51925802230835e-09,1.4901161193847656e-08,2,1.0
50,7.450580596923828e-09,8.940696716308594e-08,2,1.0
51,4.190951585769653e-09,9.313225746154785e-08,2,1.0
52,4.190951585769653e-09,1.4901161193847656e-08,2,1.0
53,3.725290298461914e-09,1.1920928955078125e-07,2,1.0
54,1.862645149230957e-09,1.4901161193847656e-08,2,1.0
55,9.313225746154785e-10,5.960464477539063e-08,2,1.0
56,4.656612873077393e-10,0.0,2,1.0
57,2.3283064365386963e-10,2.3283064365386963e-09,2,1.0
58,4.656612873077393e-10,2.9802322387695312e-08,2,1.0
59,4.656612873077393e-10,1.4901161193847656e-08,2,1.0
60,4.889443516731262e-09,2.7939677238464355e-08,2,1.0
61,0.0,1.9371509552001953e-07,2,1.0
62,2.7939677238464355e-09,4.470348358154297e-08,2,1.0
63,0.0,7.450580596923828e-09,2,1.0
64,2.3283064365386963e-09,4.842877388000488e-08,2,1.0
65,5.122274160385132e-09,5.21540641784668e-08,2,1.0
66,2.7939677238464355e-09,6.705522537231445e-08,2,1.0
67,3.259629011154175e-09,5.960464477539063e-08,2,1.0
68,0.0,9.313225746154785e-10,2,1.0
69,4.190951585769653e-09,0.0,2,1.0
70,3.725290298461914e-09,1.4901161193847656e-08,2,1.0
71,9.778887033462524e-09,1.6763806343078613e-07,2,1.0
72,4.6566128730773926e-09,7.450580596923828e-08,2,1.0
73,4.190951585769653e-09,7.264316082000732e-08,2,1.0
74,9.313225746154785e-10,7.450580596923828e-08,2,1.0
75,0.0,0.0,2,1.0
76,2.3283064365386963e-09,4.470348358154297e-08,2,1.0
77,0.0,7.450580596923828e-09,2,1.0
78,4.656612873077393e-10,2.9802322387695312e-08,2,1.0
79,1.1641532182693481e-09,3.725290298461914e-08,2,1.0
80,2.7939677238464355e-09,0.0,2,1.0
81,4.656612873077393e-10,3.5390257835388184e-08,2,1.0
82,3.725290298461914e-09,7.450580596923828e-08,2,1.0
83,4.6566128730773926e-09,5.960464477539063e-08,2,1.0
84,0.0,1.043081283569336e-07,2,1.0
85,4.6566128730773926e-09,0.0,2,1.0
86,1.862645149230957e-09,1.341104507446289e-07,2,1.0
87,2.7939677238464355e-09,7.450580596923828e-09,2,1.0
88,1.3969838619232178e-09,0.0,2,1.0
89,2.3283064365386963e-09,1.043081283569336e-07,2,1.0
90,9.313225746154785e-10,7.636845111846924e-08,2,1.0
91,4.656612873077393e-10,2.9802322387695312e-08,2,1.0
92,1.3969838619232178e-09,2.9802322387695312e-08,2,1.0
93,3.259629011154175e-09,4.842877388000488e-08,2,1.0
94,5.587935447692871e-09,8.940696716308594e-08,2,1.0
95,4.656612873077393e-10,2.2351741790771484e-08,2,1.0
96,9.313225746154785e-10,4.470348358154297e-08,2,1.0
97,2.7939677238464355e-09,1.4901161193847656e-08,2,1.0
98,0.0,0.0,2,1.0
99,1.1641532182693481e-10,2.7939677238464355e-09,2,1.0
100,4.6566128730773926e-09,2.2351741790771484e-08,2,1.0
101,0.0,1.4901161193847656e-08,2,1.0
102,0.0,1.1920928955078125e-07,2,1.0
103,0.0,3.725290298461914e-09,2,1.0
104,5.587935447692871e-09,7.450580596923828e-08,2,1.0
105,4.656612873077393e-10,2.2351741790771484e-08,2,1.0
106,1.3969838619232178e-09,1.4901161193847656e-08,2,1.0
107,1.3969838619232178e-09,1.4901161193847656e-08,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,3.725290298461914e-09,0.0,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,3.725290298461914e-09,2,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.7065266977311921e-09,4.8307244371326163e-08,2,1.0
