index,Posit32 error,Float32 error,Matrix size,Random interval
0,3.725290298461914e-09,0.0,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,3.725290298461914e-09,1.1920928955078125e-07,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,2.7939677238464355e-09,2.9802322387695312e-08,8,1.0
1,0.0,1.1920928955078125e-07,8,1.0
2,3.725290298461914e-09,5.960464477539063e-08,8,1.0
3,0.0,5.960464477539063e-08,8,1.0
4,1.862645149230957e-09,2.9802322387695312e-08,8,1.0
5,7.450580596923828e-09,1.1920928955078125e-07,8,1.0
6,7.450580596923828e-09,0.0,8,1.0
7,1.4901161193847656e-08,0.0,8,1.0
8,2.7939677238464355e-09,4.470348358154297e-08,8,1.0
9,1.862645149230957e-09,2.9802322387695312e-08,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.8638093024492264e-07,2.664513885974884e-06,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.2692180462181568e-07,2.5723129510879517e-06,8,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.5829647705134509e-07,2.4434284119217997e-06,8,1.0
