index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.862645149230957e-09,1.4901161193847656e-08,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.862645149230957e-09,0.0,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,4,1.0
1,0.0,0.0,4,1.0
2,0.0,1.4901161193847656e-08,4,1.0
3,3.725290298461914e-09,0.0,4,1.0
4,1.862645149230957e-09,0.0,4,1.0
5,0.0,2.9802322387695312e-08,4,1.0
6,1.862645149230957e-09,0.0,4,1.0
7,0.0,0.0,4,1.0
8,3.725290298461914e-09,0.0,4,1.0
9,0.0,0.0,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.5133991837501526e-08,2.1792948246002197e-07,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,1.641456037759781e-08,3.427267074584961e-07,4,1.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,2.9782100952058244e-08,5.671718089073075e-07,4,1.0
