index,Posit32 error,Float32 error,Matrix size,Random interval
0,3.0,0.875,4,10000.0
1,16.0,4.0,4,10000.0
2,0.0,4.0,4,10000.0
3,0.0,0.0,4,10000.0
4,2.5,2.75,4,10000.0
5,0.0,8.0,4,10000.0
6,0.0,4.0,4,10000.0
7,0.0,0.0,4,10000.0
8,16.0,0.0,4,10000.0
9,0.0,0.0,4,10000.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,5.0,5.0,4,10000.0
1,4.0,0.0,4,10000.0
2,0.0,4.0,4,10000.0
3,0.0,0.0,4,10000.0
4,0.0,0.0,4,10000.0
5,0.0,0.0,4,10000.0
6,0.0,4.0,4,10000.0
7,0.0,0.0,4,10000.0
8,0.0,2.0,4,10000.0
9,16.0,0.0,4,10000.0
10,32.0,0.0,4,10000.0
11,16.0,0.0,4,10000.0
12,0.0,1.0,4,10000.0
13,0.0,0.0,4,10000.0
14,0.0,0.0,4,10000.0
15,8.0,0.0,4,10000.0
16,32.0,0.0,4,10000.0
17,16.0,0.0,4,10000.0
18,8.0,8.0,4,10000.0
19,0.0,0.0,4,10000.0
20,0.0,0.0,4,10000.0
21,0.0,4.0,4,10000.0
22,0.0,0.0,4,10000.0
23,0.0,0.0,4,10000.0
24,0.0,0.0,4,10000.0
25,0.0,0.0,4,10000.0
26,0.0,0.0,4,10000.0
27,0.0,0.0,4,10000.0
28,0.0,8.0,4,10000.0
29,0.0,0.0,4,10000.0
30,0.0,8.0,4,10000.0
31,0.0,0.0,4,10000.0
32,16.0,0.0,4,10000.0
33,0.0,4.0,4,10000.0
34,8.0,1.0,4,10000.0
35,0.0,0.0,4,10000.0
36,0.0,0.0,4,10000.0
37,0.0,2.0,4,10000.0
38,16.0,0.0,4,10000.0
39,32.0,0.0,4,10000.0
40,16.0,0.0,4,10000.0
41,16.0,8.0,4,10000.0
42,0.0,0.0,4,10000.0
43,16.0,0.0,4,10000.0
44,0.0,0.0,4,10000.0
45,0.0,4.0,4,10000.0
46,0.0,0.0,4,10000.0
47,8.0,2.0,4,10000.0
48,16.0,4.0,4,10000.0
49,6.0,2.0,4,10000.0
50,16.0,4.0,4,10000.0
51,32.0,0.0,4,10000.0
52,32.0,8.0,4,10000.0
53,2.0,1.5,4,10000.0
54,0.0,0.0,4,10000.0
55,0.0,0.0,4,10000.0
56,3.0,0.5,4,10000.0
57,8.0,0.0,4,10000.0
58,16.0,4.0,4,10000.0
59,0.0,4.0,4,10000.0
60,16.0,2.0,4,10000.0
61,0.0,0.0,4,10000.0
62,0.0,0.0,4,10000.0
63,0.0,0.0,4,10000.0
64,1.5,0.25,4,10000.0
65,0.0,0.0,4,10000.0
66,2.0,1.0,4,10000.0
67,32.0,8.0,4,10000.0
68,0.0,0.0,4,10000.0
69,32.0,0.0,4,10000.0
70,0.0,4.0,4,10000.0
71,32.0,0.0,4,10000.0
72,8.0,4.0,4,10000.0
73,0.0,4.0,4,10000.0
74,0.0,0.0,4,10000.0
75,0.0,0.0,4,10000.0
76,0.0,0.0,4,10000.0
77,0.0,0.0,4,10000.0
78,0.5,0.75,4,10000.0
79,0.0,0.0,4,10000.0
80,0.0,0.0,4,10000.0
81,32.0,8.0,4,10000.0
82,0.0,8.0,4,10000.0
83,0.0,0.0,4,10000.0
84,0.0,4.0,4,10000.0
85,4.0,2.5,4,10000.0
86,0.0,2.0,4,10000.0
87,16.0,4.0,4,10000.0
88,0.0,0.0,4,10000.0
89,0.0,0.0,4,10000.0
90,16.0,4.0,4,10000.0
91,0.0,4.0,4,10000.0
92,32.0,0.0,4,10000.0
93,0.0,1.0,4,10000.0
94,0.0,0.0,4,10000.0
95,0.0,4.0,4,10000.0
96,8.0,2.0,4,10000.0
97,32.0,8.0,4,10000.0
98,12.0,2.0,4,10000.0
99,2.0,1.0,4,10000.0
