index;Posit32 error;Float32 error
82;1.86E-09;0
83;0;0
84;9.31E-10;2.24E-08
85;0;2.98E-08
86;7.45E-09;1.19E-07
87;3.73E-09;5.96E-08
88;0;3.73E-09
89;2.33E-09;3.73E-08
90;3.73E-09;8.94E-08
91;3.73E-09;2.98E-08
92;0;0
93;0;9.69E-08
94;9.31E-10;5.96E-08
95;5.59E-09;2.98E-08
96;0;7.45E-08
97;5.59E-09;8.94E-08
98;3.73E-09;1.19E-07
99;2.79E-09;4.47E-08
100;1.86E-09;4.47E-08
101;0;1.79E-07
102;0;5.96E-08
103;3.73E-09;5.96E-08
104;3.73E-09;5.96E-08
105;3.73E-09;8.94E-08
106;0;0
107;7.45E-09;2.98E-08
108;0;0
109;0;2.98E-08
110;2.33E-09;2.98E-08
111;1.86E-09;5.96E-08
112;5.59E-09;2.98E-08
113;1.12E-08;0
114;3.73E-09;5.96E-08
115;1.86E-09;8.94E-08
116;3.26E-09;1.12E-07
117;1.12E-08;1.19E-07
118;1.40E-09;5.96E-08
119;0;2.09E-07
120;3.73E-09;8.94E-08
121;0;0
122;4.66E-10;2.24E-08
123;0;1.19E-07
124;3.73E-09;0
125;4.19E-09;2.98E-08
126;0;0
127;2.79E-09;2.98E-08
128;5.59E-09;2.98E-08
129;4.19E-09;0
130;0;1.19E-07
131;0;5.96E-08
132;6.05E-09;0
133;0;0
134;3.73E-09;5.96E-08
135;5.59E-09;2.98E-08
136;4.66E-09;1.49E-08
137;2.33E-09;3.73E-08
138;4.66E-10;3.73E-08
139;1.86E-09;6.71E-08
140;3.73E-09;8.94E-08
141;0;5.96E-08
142;9.31E-10;1.19E-07
143;3.73E-09;2.98E-08
144;0;0
145;7.45E-09;1.79E-07
146;5.59E-09;0
147;1.86E-09;5.96E-08
148;0;1.49E-08
149;3.73E-09;0
150;5.59E-09;5.96E-08
151;1.86E-09;8.94E-08
152;0;1.34E-07
153;6.98E-09;7.45E-09
154;0;0
155;8.38E-09;5.96E-08
156;0;0
157;3.73E-09;1.79E-07
158;3.73E-09;5.96E-08
159;4.19E-09;5.96E-08
160;1.86E-09;0
161;0;0
162;0;2.98E-08
163;7.45E-09;0
164;1.86E-09;3.73E-08
165;3.73E-09;0
166;0;0
167;3.73E-09;0
168;7.45E-09;1.19E-07
169;3.73E-09;1.19E-07
170;0;8.94E-08
171;2.79E-09;0
172;9.31E-10;0
173;4.66E-10;3.73E-08
174;0;5.96E-08
175;3.73E-09;1.04E-07
176;3.26E-09;1.86E-08
177;3.73E-09;1.49E-08
178;0;0
179;3.73E-09;1.79E-07
180;1.86E-09;5.96E-08
181;7.45E-09;5.96E-08
182;9.31E-10;6.71E-08
183;0;0
184;0;1.19E-07
185;0;0
186;0;5.96E-08
187;2.79E-09;4.47E-08
188;3.73E-09;0
189;9.31E-10;4.84E-08
190;1.86E-09;0
191;0;3.73E-09
192;5.59E-09;8.94E-08
193;7.45E-09;0
194;3.73E-09;1.49E-07
195;4.66E-10;0
196;3.73E-09;0
197;1.86E-09;0
198;1.12E-08;5.96E-08
199;7.45E-09;1.19E-07
200;7.45E-09;7.45E-08
201;7.45E-09;1.19E-07
202;4.66E-09;0
203;3.73E-09;6.71E-08
204;3.73E-09;2.98E-08
205;7.45E-09;0
206;0;5.96E-08
207;4.66E-09;1.49E-08
208;0;2.98E-07
209;7.45E-09;0
210;0;0
211;3.73E-09;0
212;9.31E-10;0
213;0;2.98E-08
214;3.73E-09;0
215;3.73E-09;8.94E-08
216;0;6.15E-08
217;2.33E-09;3.73E-08
218;0;0
219;0;0
220;0;1.49E-08
221;3.73E-09;1.19E-07
222;7.45E-09;0
223;0;5.96E-08
224;7.45E-09;5.96E-08
225;1.12E-08;5.96E-08
226;6.52E-09;7.45E-08
227;9.31E-09;0
228;5.59E-09;1.49E-07
229;1.86E-09;5.96E-08
230;7.45E-09;5.96E-08
231;5.59E-09;5.96E-08
232;4.66E-10;5.96E-08
233;0;4.47E-08
234;5.59E-09;8.94E-08
235;9.31E-09;8.94E-08
236;2.33E-09;3.91E-08
237;3.73E-09;0
238;9.31E-10;7.45E-08
239;0;1.12E-08
240;0;0
241;0;8.94E-08
242;9.31E-10;1.49E-08
243;9.31E-10;7.45E-08
244;3.73E-09;1.19E-07
245;5.59E-09;5.96E-08
246;5.59E-09;7.45E-08
247;1.86E-09;2.98E-08
248;5.24E-10;4.19E-09
249;3.73E-09;0
250;7.45E-09;5.96E-08
251;0;1.49E-08
252;4.66E-09;1.04E-07
253;0;4.66E-10
254;9.31E-10;6.71E-08
255;0;5.96E-08
256;3.73E-09;1.19E-07
257;9.31E-10;5.96E-08
258;7.45E-09;1.49E-07
259;0;5.96E-08
260;9.31E-10;2.98E-08
261;7.45E-09;0
262;0;8.94E-08
263;9.31E-10;2.98E-08
264;9.31E-09;2.98E-08
265;9.31E-10;1.04E-07
266;9.31E-09;1.49E-07
267;0;0
268;3.73E-09;5.96E-08
269;2.79E-09;7.45E-08
270;1.86E-09;1.49E-07
271;7.45E-09;1.19E-07
272;5.59E-09;1.19E-07
273;7.45E-09;2.38E-07
274;3.73E-09;5.96E-08
275;0;2.98E-08
276;1.86E-09;0
277;4.66E-09;4.47E-08
278;3.73E-09;5.96E-08
279;1.40E-09;2.98E-08
280;1.86E-09;5.96E-08
281;9.31E-10;0
282;3.73E-09;5.96E-08
283;7.45E-09;1.19E-07
284;4.66E-09;8.94E-08
285;1.30E-08;2.98E-08
286;7.45E-09;8.94E-08
287;3.73E-09;7.45E-08
288;7.45E-09;1.49E-08
289;2.79E-09;5.96E-08
290;0;0
291;0;5.96E-08
292;0;3.73E-08
293;0;8.94E-08
294;0;1.34E-07
295;7.45E-09;2.98E-08
296;1.86E-09;6.15E-08
297;9.31E-09;1.79E-07
298;0;0
299;7.45E-09;1.19E-07
300;0;1.19E-07
301;4.66E-10;1.49E-08
302;0;0
303;7.45E-09;2.09E-07
304;0;1.19E-07
305;7.45E-09;3.58E-07
306;3.73E-09;0
307;0;0
308;1.86E-09;0
309;1.86E-09;7.45E-09
310;1.86E-09;2.24E-08
311;9.31E-10;5.96E-08
312;3.73E-09;0
313;1.86E-09;5.96E-08
314;0;8.94E-08
315;0;8.94E-08
316;7.45E-09;0
317;3.73E-09;1.19E-07
318;4.66E-09;4.47E-08
319;1.40E-09;4.84E-08
320;1.40E-09;2.98E-08
321;1.86E-09;5.96E-08
322;3.73E-09;2.98E-08
323;7.45E-09;5.96E-08
324;0;1.49E-08
325;4.66E-10;7.45E-08
326;3.73E-09;5.96E-08
327;0;2.98E-08
328;4.66E-09;5.96E-08
329;1.86E-09;2.98E-08
330;1.86E-09;2.98E-08
331;1.86E-09;1.04E-07
332;0;0
333;1.16E-09;3.91E-08
334;5.59E-09;5.96E-08
335;7.45E-09;1.19E-07
336;1.86E-09;0
337;6.05E-09;9.69E-08
338;3.73E-09;0
339;0;2.98E-08
340;5.59E-09;5.96E-08
341;4.66E-10;0
342;3.73E-09;8.94E-08
343;1.12E-08;0
344;4.66E-09;8.94E-08
345;5.59E-09;0
346;3.73E-09;6.33E-08
347;0;8.94E-08
348;3.73E-09;1.19E-07
349;3.73E-09;0
350;1.86E-09;0
351;5.59E-09;0
352;1.86E-09;8.94E-08
353;5.59E-09;1.19E-07
354;9.31E-10;0
355;2.79E-09;1.49E-08
356;9.31E-10;2.98E-08
357;7.92E-09;0
358;1.16E-09;1.68E-08
359;1.86E-09;1.49E-08
360;9.78E-09;0
361;0;5.96E-08
362;7.45E-09;5.96E-08
363;9.31E-10;1.49E-08
364;1.30E-08;2.09E-07
365;4.66E-09;0
366;1.12E-08;2.53E-07
367;3.73E-09;0
368;1.49E-08;1.19E-07
369;2.33E-09;0
370;9.31E-10;3.73E-09
371;1.86E-09;1.19E-07
372;1.86E-09;2.98E-08
373;0;6.80E-08
374;1.86E-09;2.98E-08
375;5.59E-09;2.98E-08
376;0;1.19E-07
377;0;5.96E-08
378;3.73E-09;5.96E-08
379;3.73E-09;2.98E-08
380;0;7.45E-09
381;3.73E-09;2.98E-08
382;0;0
383;5.59E-09;0
384;0;5.96E-08
385;1.86E-09;1.49E-08
386;7.45E-09;1.79E-07
387;1.86E-09;8.94E-08
388;3.73E-09;1.49E-08
389;0;0
390;4.66E-10;4.47E-08
391;9.31E-10;5.96E-08
392;1.86E-09;7.45E-09
393;0;5.96E-08
394;0;1.19E-07
395;3.73E-09;2.98E-08
396;0;2.98E-08
397;0;5.22E-08
398;0;1.34E-07
399;0;0
400;9.31E-10;5.96E-08
401;3.73E-09;1.79E-07
402;1.86E-09;1.49E-08
403;0;8.94E-08
404;1.86E-09;2.98E-08
405;5.59E-09;5.96E-08
406;7.45E-09;0
407;0;1.19E-07
408;0;0
409;0;1.19E-07
410;0;5.96E-08
411;1.86E-09;0
412;2.79E-09;1.49E-08
413;1.86E-09;1.49E-07
414;1.86E-09;4.47E-08
415;0;1.49E-07
416;7.45E-09;5.96E-08
417;3.73E-09;0
418;1.12E-08;1.19E-07
419;1.86E-09;7.45E-08
420;3.73E-09;1.19E-07
421;1.68E-08;1.19E-07
422;9.31E-10;2.98E-08
423;4.66E-10;2.24E-08
424;5.59E-09;8.94E-08
425;0;2.09E-07
426;4.66E-10;5.96E-08
427;3.73E-09;5.96E-08
428;6.05E-09;2.98E-08
429;4.66E-09;1.12E-07
430;0;0
431;6.05E-09;7.45E-09
432;1.86E-09;8.94E-08
433;1.86E-09;2.98E-08
434;1.86E-09;0
435;3.73E-09;7.45E-08
436;0;2.98E-08
437;0;2.98E-08
438;5.59E-09;0
439;2.33E-09;1.49E-08
440;0;5.96E-08
441;0;1.19E-07
442;0;4.47E-08
443;0;0
444;0;5.96E-08
445;1.86E-09;0
446;1.86E-09;0
447;4.66E-09;7.45E-09
448;1.40E-09;0
449;1.86E-09;1.49E-07
450;0;2.98E-08
451;0;0
452;9.31E-10;2.98E-08
453;5.59E-09;4.47E-08
454;0;2.98E-08
455;4.66E-09;7.45E-08
456;1.49E-08;5.96E-08
457;3.73E-09;1.49E-07
458;3.73E-09;1.49E-08
459;4.66E-09;1.19E-07
460;3.73E-09;0
461;3.73E-09;8.94E-08
462;1.86E-09;8.94E-08
463;7.45E-09;1.49E-07
464;7.45E-09;5.96E-08
465;1.49E-08;0
466;1.12E-08;0
467;7.45E-09;1.49E-07
468;1.12E-08;5.96E-08
469;5.59E-09;1.49E-07
470;0;0
471;0;0
472;1.86E-09;0
473;3.73E-09;1.19E-07
474;9.31E-10;0
475;7.45E-09;0
476;5.59E-09;2.98E-08
477;0;6.71E-08
478;2.33E-09;9.69E-08
479;0;0
480;9.31E-10;1.49E-08
481;4.66E-10;3.73E-08
482;3.84E-09;2.98E-08
483;9.31E-10;1.49E-08
484;4.66E-10;0
485;7.45E-09;2.98E-08
486;0;8.94E-08
487;2.33E-09;7.45E-09
488;3.73E-09;5.96E-08
489;1.86E-09;3.73E-08
490;3.73E-09;1.19E-07
491;5.59E-09;0
492;3.73E-09;0
493;7.45E-09;1.19E-07
494;1.86E-09;7.45E-09
495;0;0
496;7.45E-09;2.98E-08
497;0;5.96E-08
498;7.45E-09;1.19E-07
499;9.31E-09;5.96E-08
500;7.45E-09;0
501;6.52E-09;8.94E-08
502;0;8.94E-08
503;3.73E-09;2.24E-08
504;1.49E-08;1.19E-07
505;0;2.98E-08
506;0;0
507;7.45E-09;6.33E-08
508;1.86E-09;7.45E-08
509;3.73E-09;4.47E-08
510;1.05E-09;1.96E-08
511;0;4.47E-08
512;5.59E-09;1.19E-07
513;4.66E-10;6.71E-08
514;3.73E-09;1.49E-08
515;9.31E-10;7.45E-08
516;0;0
517;9.31E-10;1.86E-08
518;1.86E-09;0
519;1.86E-09;0
520;1.86E-09;1.86E-08
521;3.73E-09;3.35E-08
522;0;1.19E-07
523;0;5.96E-08
524;1.12E-08;1.79E-07
525;7.45E-09;1.49E-07
526;0;1.19E-07
527;6.98E-10;0
528;0;2.98E-08
529;3.73E-09;0
530;1.12E-08;0
531;3.73E-09;2.98E-08
532;1.40E-09;3.35E-08
533;3.73E-09;5.96E-08
534;0;8.94E-08
535;0;7.45E-09
536;3.73E-09;0
537;0;8.94E-08
538;9.31E-10;4.47E-08
539;3.73E-09;1.19E-07
540;2.79E-09;7.45E-09
541;4.66E-09;0
542;5.59E-09;2.98E-08
543;1.12E-08;0
544;7.45E-09;5.96E-08
545;3.73E-09;2.98E-08
546;0;0
547;2.33E-09;2.98E-08
548;1.86E-09;5.96E-08
549;5.59E-09;2.98E-08
550;3.73E-09;5.96E-08
551;7.45E-09;1.19E-07
552;3.73E-09;0
553;4.19E-09;0
554;5.59E-09;5.96E-08
555;7.92E-09;1.49E-07
556;2.79E-09;2.79E-09
557;3.73E-09;0
558;3.73E-09;1.86E-09
559;7.45E-09;2.98E-08
560;0;1.49E-08
561;0;0
562;3.73E-09;1.19E-07
563;7.45E-09;1.79E-07
564;0;0
565;0;5.96E-08
566;2.79E-09;1.49E-08
567;0;5.96E-08
568;3.73E-09;1.79E-07
569;0;5.96E-08
570;3.73E-09;1.49E-08
571;0;1.19E-07
572;3.73E-09;1.19E-07
573;0;2.98E-08
574;9.31E-10;7.45E-09
575;2.79E-09;4.47E-08
576;1.86E-09;5.96E-08
577;9.31E-10;1.49E-08
578;3.73E-09;2.98E-08
579;2.79E-09;8.94E-08
580;0;3.73E-09
581;0;8.94E-08
582;4.66E-09;0
583;7.45E-09;0
584;0;0
585;4.66E-09;2.98E-08
586;3.73E-09;4.47E-08
587;7.45E-09;5.96E-08
588;3.73E-09;0
589;0;5.96E-08
590;3.73E-09;5.96E-08
591;5.59E-09;1.49E-07
592;4.66E-09;0
593;0;0
594;2.79E-09;6.71E-08
595;0;0
596;4.66E-09;2.98E-08
597;5.12E-09;7.45E-09
598;9.31E-10;1.49E-08
599;3.73E-09;0
600;1.86E-09;8.94E-08
601;0;0
602;7.45E-09;5.96E-08
603;1.86E-09;2.98E-08
604;1.12E-08;0
605;1.86E-09;5.96E-08
606;2.79E-09;2.98E-08
607;8.38E-09;1.49E-08
608;4.66E-09;5.96E-08
609;0;1.79E-07
610;3.73E-09;0
611;4.66E-10;0
612;2.79E-09;2.24E-08
613;3.73E-09;0
614;5.59E-09;5.96E-08
615;2.79E-09;7.45E-08
616;0;7.45E-09
617;1.86E-08;0
618;5.59E-09;8.94E-08
619;9.31E-10;0
620;9.31E-10;0
621;3.73E-09;0
622;0;1.49E-07
623;5.59E-09;5.96E-08
624;1.86E-09;2.98E-08
625;3.73E-09;0
626;3.73E-09;5.96E-08
627;1.49E-08;0
628;4.66E-09;2.24E-08
629;3.73E-09;0
630;8.38E-09;1.49E-08
631;3.73E-09;3.73E-08
632;3.73E-09;0
633;5.59E-09;8.94E-08
634;1.86E-09;8.94E-08
635;9.31E-09;1.19E-07
636;1.12E-08;1.19E-07
637;1.86E-09;2.98E-08
638;0;4.66E-08
639;1.86E-09;3.73E-08
640;4.66E-09;8.94E-08
641;0;5.96E-08
642;0;2.09E-07
643;5.59E-09;0
644;3.73E-09;5.96E-08
645;7.45E-09;7.45E-08
646;0;2.98E-08
647;5.59E-09;5.96E-08
648;1.86E-09;7.45E-09
649;1.86E-09;5.96E-08
650;1.86E-09;5.96E-08
651;0;0
652;0;1.34E-07
653;9.31E-10;1.19E-07
654;5.12E-09;1.19E-07
655;3.73E-09;7.45E-09
656;1.12E-08;1.19E-07
657;0;6.71E-08
658;3.73E-09;5.96E-08
659;5.59E-09;0
660;0;8.94E-08
661;3.73E-09;0
662;9.31E-10;1.34E-07
663;0;2.98E-08
664;1.86E-09;8.94E-08
665;3.73E-09;5.96E-08
666;5.59E-09;2.98E-08
667;7.45E-09;2.98E-08
668;3.73E-09;6.71E-08
669;5.59E-09;1.04E-07
670;0;0
671;0;1.49E-07
672;2.33E-09;8.20E-08
673;0;0
674;7.45E-09;2.38E-07
675;7.45E-09;1.79E-07
676;1.86E-09;8.94E-08
677;0;5.96E-08
678;3.73E-09;5.96E-08
679;0;0
680;3.73E-09;0
681;3.73E-09;1.19E-07
682;4.66E-10;1.86E-09
683;0;2.98E-08
684;3.73E-09;7.45E-08
685;2.79E-09;2.98E-08
686;7.45E-09;5.96E-08
687;2.79E-09;1.12E-08
688;0;1.49E-08
689;0;5.96E-08
690;0;3.73E-09
691;0;7.45E-09
692;9.31E-10;4.47E-08
693;1.86E-09;1.19E-07
694;1.86E-09;0
695;0;0
696;2.79E-09;1.49E-08
697;3.73E-09;1.19E-07
698;3.73E-09;1.49E-08
699;0;1.19E-07
700;1.86E-09;0
701;3.73E-09;1.19E-07
702;3.73E-09;0
703;0;1.94E-07
704;0;1.49E-07
705;9.31E-10;1.49E-08
706;5.59E-09;2.98E-08
707;3.73E-09;0
708;1.86E-09;2.98E-08
709;1.86E-09;1.49E-08
710;1.86E-09;1.49E-07
711;1.86E-09;0
712;7.45E-09;7.45E-08
713;3.73E-09;1.79E-07
714;9.31E-09;8.94E-08
715;0;5.96E-08
716;1.86E-09;2.98E-08
717;2.56E-09;0
718;9.31E-10;2.98E-08
719;2.33E-09;1.49E-08
720;0;2.98E-08
721;0;0
722;0;0
723;0;1.49E-07
724;9.31E-10;2.98E-08
725;3.73E-09;7.45E-09
726;0;0
727;0;0
728;0;1.49E-08
729;5.59E-09;0
730;9.31E-10;1.49E-08
731;1.86E-09;3.35E-08
732;7.45E-09;0
733;0;4.47E-08
734;0;2.98E-08
735;1.40E-09;0
736;5.59E-09;2.98E-08
737;3.73E-09;1.19E-07
738;4.66E-09;1.86E-08
739;1.86E-09;1.34E-07
740;0;2.38E-07
741;1.86E-09;8.94E-08
742;5.59E-09;1.04E-07
743;3.73E-09;0
744;2.33E-10;0
745;3.73E-09;1.79E-07
746;7.45E-09;1.19E-07
747;4.66E-09;2.24E-08
748;3.73E-09;0
749;7.45E-09;5.96E-08
750;0;5.96E-08
751;0;2.98E-08
752;3.73E-09;0
753;9.31E-10;0
754;0;5.96E-08
755;0;5.96E-08
756;4.66E-09;0
757;3.73E-09;0
758;0;1.19E-07
759;2.33E-09;1.19E-07
760;4.66E-09;5.96E-08
761;1.30E-08;2.98E-08
762;3.73E-09;2.98E-08
763;7.45E-09;1.19E-07
764;0;5.96E-08
765;9.31E-09;1.49E-07
766;3.73E-09;2.98E-08
767;4.66E-10;3.73E-08
768;1.86E-09;8.94E-08
769;0;0
770;3.73E-09;0
771;2.33E-09;0
772;1.12E-08;1.49E-08
773;0;5.96E-08
774;3.73E-09;2.98E-08
775;1.86E-09;2.98E-08
776;1.86E-09;0
777;4.66E-10;1.19E-07
778;1.86E-09;0
779;3.73E-09;0
780;1.86E-09;2.98E-08
781;7.45E-09;2.98E-08
782;1.12E-08;5.96E-08
783;1.86E-09;7.45E-09
784;3.73E-09;0
785;0;2.98E-08
786;2.79E-09;2.98E-08
787;6.52E-09;2.98E-08
788;1.86E-09;2.98E-08
789;3.73E-09;0
790;1.86E-09;4.47E-08
791;3.73E-09;0
792;9.31E-10;5.96E-08
793;7.45E-09;5.96E-08
794;9.31E-10;2.98E-08
795;2.79E-09;4.47E-08
796;4.19E-09;1.34E-07
797;0;1.49E-08
798;1.86E-09;0
799;0;8.94E-08
800;1.86E-09;8.94E-08
801;3.73E-09;8.94E-08
802;3.73E-09;2.98E-08
803;3.73E-09;8.94E-08
804;4.66E-09;2.98E-08
805;4.66E-10;0
806;3.73E-09;5.96E-08
807;5.59E-09;1.49E-08
808;0;5.96E-08
809;0;0
810;1.40E-09;0
811;9.31E-10;2.98E-08
812;1.86E-09;5.22E-08
813;3.73E-09;8.94E-08
814;5.59E-09;4.47E-08
815;2.79E-09;2.98E-08
816;7.45E-09;1.19E-07
817;5.59E-09;1.19E-07
818;1.40E-09;3.17E-08
819;6.05E-09;7.45E-09
820;7.45E-09;0
821;4.66E-10;1.49E-08
822;1.86E-09;2.98E-08
823;9.31E-10;3.73E-08
824;4.19E-09;0
825;1.86E-09;8.94E-08
826;1.12E-08;1.19E-07
827;3.73E-09;5.96E-08
828;3.73E-09;5.96E-08
829;7.45E-09;0
830;0;5.96E-08
831;4.19E-09;9.69E-08
832;7.45E-09;2.38E-07
833;8.38E-09;6.71E-08
834;4.66E-10;9.31E-10
835;1.86E-09;0
836;3.73E-09;8.94E-08
837;1.86E-09;0
838;0;8.94E-08
839;0;0
840;3.73E-09;0
841;0;8.94E-08
842;3.73E-09;2.98E-08
843;4.66E-10;1.19E-07
844;0;8.94E-08
845;0;8.94E-08
846;3.73E-09;1.49E-07
847;3.73E-09;7.45E-09
848;5.59E-09;2.98E-08
849;7.45E-09;0
850;2.33E-09;1.49E-08
851;9.31E-10;4.47E-08
852;0;2.98E-08
853;1.86E-09;5.96E-08
854;0;2.98E-08
855;0;0
856;9.31E-10;8.94E-08
857;3.73E-09;0
858;0;1.12E-07
859;0;1.49E-07
860;7.45E-09;8.94E-08
861;3.73E-09;0
862;1.86E-09;0
863;3.73E-09;1.19E-07
864;7.92E-09;0
865;1.86E-09;0
866;1.86E-09;0
867;3.73E-09;8.94E-08
868;0;2.98E-08
869;7.45E-09;1.19E-07
870;0;2.24E-08
871;0;1.49E-08
872;3.73E-09;8.94E-08
873;0;5.96E-08
874;1.86E-09;5.96E-08
875;2.33E-09;3.73E-08
876;0;0
877;1.49E-08;2.38E-07
878;0;1.19E-07
879;0;0
880;5.59E-09;1.19E-07
881;3.73E-09;1.19E-07
882;1.30E-08;1.49E-08
883;9.31E-10;0
884;7.45E-09;1.04E-07
885;3.73E-09;8.94E-08
886;9.31E-10;5.96E-08
887;1.86E-09;9.31E-08
888;8.38E-09;6.71E-08
889;3.73E-09;8.20E-08
890;0;1.86E-08
891;2.79E-09;2.98E-08
892;5.82E-11;0
893;2.33E-09;5.96E-08
894;5.59E-09;5.96E-08
895;9.31E-10;7.45E-09
896;1.86E-09;0
897;4.66E-09;8.94E-08
898;0;1.49E-08
899;1.86E-09;1.49E-08
900;7.45E-09;1.49E-07
901;2.79E-09;2.98E-08
902;0;0
903;7.45E-09;1.19E-07
904;5.59E-09;0
905;0;5.96E-08
906;0;7.45E-09
907;0;8.94E-08
908;1.86E-09;5.96E-08
909;3.73E-09;2.98E-08
910;1.02E-08;4.47E-08
911;0;0
912;1.86E-09;0
913;9.31E-10;2.98E-08
914;1.86E-09;1.49E-07
915;9.31E-09;2.98E-08
916;3.26E-09;2.98E-08
917;3.73E-09;2.98E-08
918;9.31E-10;1.49E-08
919;0;8.94E-08
920;5.59E-09;8.94E-08
921;4.19E-09;0
922;3.73E-09;2.98E-08
923;0;5.96E-08
924;4.66E-10;6.71E-08
925;3.73E-09;8.94E-08
926;1.86E-09;8.94E-08
927;3.73E-09;0
928;1.86E-09;3.73E-08
929;1.86E-09;1.19E-07
930;9.31E-10;7.45E-08
931;7.45E-09;1.79E-07
932;9.31E-09;2.98E-08
933;0;1.49E-08
934;3.73E-09;1.79E-07
935;1.86E-09;5.96E-08
936;5.59E-09;5.96E-08
937;0;2.98E-08
938;9.31E-09;8.94E-08
939;7.45E-09;5.96E-08
940;0;1.49E-08
941;3.73E-09;2.98E-08
942;3.73E-09;1.19E-07
943;0;5.96E-08
944;9.31E-10;0
945;0;8.94E-08
946;5.59E-09;2.98E-08
947;5.59E-09;0
948;0;1.19E-07
949;3.73E-09;5.96E-08
950;1.49E-08;1.19E-07
951;2.79E-09;7.45E-08
952;2.33E-10;3.17E-08
953;1.30E-08;1.19E-07
954;4.66E-09;0
955;3.73E-09;0
956;1.86E-09;8.94E-08
957;3.73E-09;2.98E-08
958;1.86E-09;2.98E-08
959;7.45E-09;1.19E-07
960;5.59E-09;0
961;9.31E-10;1.49E-08
962;7.45E-09;0
963;7.45E-09;0
964;1.12E-08;5.96E-08
965;3.73E-09;1.19E-07
966;9.31E-09;1.79E-07
967;5.59E-09;1.19E-07
968;6.52E-09;0
969;4.19E-09;2.98E-08
970;5.59E-09;0
971;1.12E-08;0
972;1.12E-08;5.96E-08
973;1.86E-09;1.49E-08
974;7.45E-09;1.19E-07
975;9.31E-09;3.73E-09
976;4.66E-10;7.45E-09
977;7.45E-09;1.49E-07
978;9.31E-10;1.49E-08
979;3.73E-09;5.96E-08
980;5.59E-09;0
981;4.66E-10;0
982;1.86E-09;0
983;5.59E-09;2.98E-08
984;5.59E-09;1.49E-08
985;0;1.49E-07
986;9.31E-10;0
987;3.73E-09;1.49E-08
988;2.33E-09;5.96E-08
989;1.86E-09;2.98E-08
990;0;1.19E-07
991;7.45E-09;1.49E-08
992;5.59E-09;0
993;1.86E-09;0
994;1.86E-09;2.98E-08
995;9.31E-10;7.45E-09
996;0;0
997;0;0
998;3.73E-09;0
999;7.45E-09;0
