index;Posit32 error;Float32 error
0;0;8.94E-08
1;3.73E-09;0
2;7.45E-09;0
3;4.66E-10;1.19E-07
4;5.59E-09;2.98E-08
5;0;7.45E-08
6;9.31E-09;2.98E-08
7;3.73E-09;1.12E-08
8;0;1.19E-07
9;9.31E-09;1.19E-07
10;3.73E-09;1.79E-07
11;7.45E-09;5.96E-08
12;1.86E-09;0
13;9.31E-10;0
14;9.31E-10;5.96E-08
15;4.66E-10;3.73E-08
16;3.73E-09;5.22E-08
17;7.45E-09;5.96E-08
18;5.59E-09;2.98E-08
19;1.86E-09;2.98E-08
20;3.73E-09;1.79E-07
21;1.86E-09;1.49E-07
22;2.33E-09;1.49E-08
23;0;2.98E-08
24;1.86E-09;2.98E-08
25;5.59E-09;5.96E-08
26;3.73E-09;2.98E-08
27;0;2.98E-08
28;3.73E-09;1.19E-07
29;3.73E-09;8.94E-08
30;2.79E-09;0
31;9.31E-10;7.45E-09
32;1.30E-08;5.96E-08
33;5.59E-09;8.94E-08
34;7.45E-09;5.96E-08
35;5.59E-09;0
36;3.73E-09;5.96E-08
37;1.49E-08;5.96E-08
38;1.86E-09;4.47E-08
39;0;8.94E-08
40;4.19E-09;3.73E-08
41;0;0
42;2.79E-09;4.47E-08
43;4.66E-09;5.96E-08
44;2.33E-09;0
45;6.05E-09;3.73E-08
46;3.73E-09;7.45E-08
47;7.45E-09;1.19E-07
48;0;0
49;0;0
50;0;1.49E-07
51;0;5.96E-08
52;5.59E-09;0
53;5.59E-09;0
54;5.59E-09;5.96E-08
55;0;5.96E-08
56;7.45E-09;5.96E-08
57;2.33E-09;3.35E-08
58;4.66E-10;8.94E-08
59;6.05E-09;0
60;4.66E-09;1.86E-08
61;9.31E-10;2.98E-08
62;3.73E-09;5.96E-08
63;1.86E-09;7.45E-08
64;5.59E-09;5.96E-08
65;0;2.98E-08
66;4.66E-09;1.49E-08
67;3.73E-09;1.19E-07
68;3.73E-09;5.96E-08
69;1.86E-09;0
70;3.73E-09;6.71E-08
71;0;1.19E-07
72;0;5.96E-08
73;0;2.24E-08
74;3.73E-09;1.79E-07
75;3.73E-09;1.19E-07
76;3.73E-09;1.19E-07
77;4.66E-09;7.45E-08
78;3.73E-09;1.19E-07
79;4.66E-09;1.49E-08
80;1.49E-08;1.79E-07
81;0;1.64E-07
